,Player,Pos,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
206,Alex Collins,RB,SEA,0,4,17,6,bye,2,1,0,1,2,0,6,0,28,0,43,30,140,12.7
207,Tyler Boyd,WR,CIN,44,60,24,28,50,55,41,72,bye,32,54,55,42,41,45,46,50,739,46.2
208,Devontae Booker,RB,DEN,6,14,16,18,29,15,35,54,45,59,bye,46,37,28,28,33,29,492,30.8
209,Pharoh Cooper,WR,LAR,0,0,0,0,7,0,0,bye,11,21,14,14,33,25,18,11,54,208,20.8
210,Hunter Henry,TE,SD,30,39,59,68,42,45,47,45,0,26,0,28,24,35,29,20,36,573,38.2
211,Sterling Shepard,WR,NYG,53,75,66,62,56,64,54,bye,59,71,63,51,60,61,61,88,62,1006,62.9
212,Austin Hooper,TE,ATL,9,20,14,18,18,12,15,46,55,36,bye,33,46,42,40,0,0,404,28.9
213,Jordan Howard,RB,CHI,0,11,49,63,63,55,22,50,bye,29,46,53,53,34,49,39,38,654,43.6
214,Rashard Higgins,WR,CLE,1,7,18,7,7,7,31,10,4,8,17,20,bye,6,6,10,24,183,11.4
215,Tajae Sharpe,WR,TEN,64,67,51,59,59,47,61,37,54,36,63,41,bye,46,52,35,18,790,49.4
216,Dak Prescott,QB,DAL,78,68,68,76,57,64,bye,77,67,65,71,56,52,66,74,57,15,1011,63.2
217,Jonathan Williams,RB,BUF,0,0,6,1,0,8,0,19,1,bye,11,15,4,0,7,3,17,92,8.4
218,C.J. Prosise,RB,SEA,9,0,0,0,bye,0,16,23,26,54,19,0,0,0,0,0,0,147,24.5
219,Tyler Higbee,TE,LAR,21,25,21,18,32,19,29,bye,31,25,24,23,28,38,26,30,12,402,25.1
220,Will Fuller,WR,HOU,54,65,71,56,64,0,66,47,bye,0,41,53,52,58,68,61,73,829,59.2
221,Kenyan Drake,RB,MIA,1,18,27,7,7,1,2,bye,3,2,2,3,10,2,5,7,12,109,6.8
222,Jacoby Brissett,QB,NE,0,38,62,56,0,0,0,0,bye,0,0,0,0,0,0,0,0,156,52.0
223,Nick Vannett,TE,SEA,0,0,0,0,bye,3,2,9,13,12,0,2,27,7,10,0,0,85,9.4
224,Chris Moore,WR,BAL,14,25,26,29,0,5,16,bye,4,2,1,4,13,4,1,0,18,162,10.8
225,Tyler Ervin,RB,HOU,11,1,0,0,0,6,4,1,bye,4,0,0,0,0,0,0,0,27,2.3
226,Demarcus Robinson,WR,KC,0,2,0,0,bye,0,0,0,0,0,0,0,0,0,0,0,3,5,0.3
227,Seth DeValve,TE,CLE,3,5,3,0,0,0,0,11,5,5,6,20,bye,4,14,7,10,93,7.8
228,Wendell Smallwood,RB,PHI,2,5,24,bye,1,10,5,1,4,19,38,22,24,9,0,0,0,164,12.6
229,Jakeem Grant,WR,MIA,0,0,0,0,1,0,1,bye,4,1,0,2,4,0,2,0,4,19,1.2
230,Robby Anderson,WR,NYJ,4,6,11,62,52,55,50,62,55,53,bye,44,42,64,71,43,44,718,44.9
231,D.J. Foster,RB,NE,0,4,0,0,12,0,0,0,bye,0,0,0,0,0,0,0,0,16,5.3
232,Cody Core,WR,CIN,0,0,0,0,12,0,0,0,bye,7,0,11,30,57,44,39,61,261,32.6
233,Alex Erickson,WR,CIN,0,4,0,1,10,3,0,1,bye,0,9,13,12,14,2,6,3,78,4.9
234,Stephen Anderson,TE,HOU,24,12,11,0,0,0,13,10,bye,6,3,8,8,5,18,5,6,129,9.9
235,Andy Janovich,RB,DEN,27,34,27,29,12,5,31,27,1,10,bye,32,0,0,0,0,0,235,21.4
